Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Qadir, Mirza Muhammad Fahd; Elgamal, Ruth M; Song, Keijing; **Kudtarkar, Parul**",Single cell regulatory architecture of human pancreatic islets suggests sex differences in β cell function and the pathogenesis of type 2 diabetes,bioRxiv,,,,2024,Cold Spring Harbor Laboratory Preprints
"Elgamal, Ruth; **Kudtarkar, Parul**; Melton, Rebecca",An integrated map of cell type-specific gene expression in pancreatic islets,Diabetes,230130.0,db230130,,2023,
"**Kudtarkar, Parul**; Costanzo, Maria; Sun, Ying",Leveraging type 1 diabetes human genetic and genomic data in the T1D Knowledge Portal,PLoS Biology,3002233.0,21(8): e3002233,,2023,PLoS
"Costanzo, Maria C; von Grotthuss, Marcin; Massung, Jeffrey; **Kudtarkar, Parul**",The Type 2 Diabetes Knowledge Portal: An open access genetic resource dedicated to type 2 diabetes and related traits,Cell metabolism,35.0,4,695-710. e6,2023,Elsevier
"Costanzo, Maria C; Roselli, Carolina; Brandes, MacKenzie; **Kudtarkar, Parul**",Cardiovascular disease knowledge portal: a community resource for cardiovascular disease research,Circulation: Genomic and Precision Medicine,16.0,6,e004181,2023,"Lippincott Williams & Wilkins Hagerstown, MD"
"Chiou, Joshua; Zeng, Chun; Cheng, Zhang; **Kudtarkar, Parul**",Single-cell chromatin accessibility identifies pancreatic islet cell type– and state-specific regulatory programs of diabetes risk.,Nature Genetics,,,,2021,
"Wang, Allen; Chiou, Joshua; Poirion, Olivier B; **Kudtarkar, Parul**",Single-cell multiomic profiling of human lungs reveals cell-type-specific and age-dynamic control of SARS-CoV2 host genes,Elife,9.0,,e62522,2020,eLife Sciences Publications Limited
"Wang, Lijun; Koppitch, Kari; Cutting, Ann; **Kudtarkar, Parul**",Developmental effector gene regulation: Multiplexed strategies for functional analysis,Developmental biology,445.0,1,68-79,2019,Academic Press
"**Kudtarkar, Parul**; Cameron, R. Andrew;",Echinobase: an expanding resource for echinoderm genomic information,Database: The Journal of Biological Databases and Curation,2017.0,﻿﻿10.1093/database/bax074,﻿,2017,Oxford University Press
"Cameron, R Andrew; **Kudtarkar, Parul**; Gordon, Susan M",Do echinoderm genomes measure up?,Marine genomics,22.0,,1-9,2015,Elsevier
"**Kudtarkar, Parul**; DeLuca, Todd F; Fusaro, Vincent A","Cost-effective cloud computing: a case study using the comparative genomics tool, roundup",Evolutionary Bioinformatics,6.0,,EBO. S6259,2010,"SAGE Publications Sage UK: London, England"
"Wall, Dennis P; **Kudtarkar, Parul**; Fusaro, Vincent A",Cloud computing for comparative genomics,BMC bioinformatics,11.0,1,259,2010,BioMed Central
